"state","division","region","pop","popgrow","popden","pcturban","faminc","hsng","hsnggrow","hsngval","rent"
"Alabama","E.S.C.","South",3893888,13.1000003814697,767,60.0354461669922,16347,1467374,30.9875831604004,33900,188
"Alaska","Pacific","West",401851,32.7999992370605,7,64.3440017700195,28395,162825,79.2693786621094,75200,368
"Arizona","Mountain","West",2718215,53.0999984741211,239,83.8317794799805,19017,1110558,89.5955810546875,56600,263
"Arkansas","W.S.C.","South",2286435,18.8999996185303,439,51.5893096923828,14641,898593,33.0027236938477,31100,185
"California","Pacific","West",23667902,18.5,1514,91.2949752807617,21537,9279036,32.5543632507324,84700,283
"Colorado","Mountain","West",2889964,30.7999992370605,279,80.6193084716797,21279,1194253,57.5874710083008,64600,252
"Connecticut","N. Eng.","NE",3107576,2.5,6379,78.8323135375977,23149,1158884,18.0603561401367,67400,261
"Deleware","S. Atl.","South",594338,8.39999961853027,3076,70.6364059448242,20817,238611,32.3902931213379,44600,247
"Florida","S. Atl.","South",9746324,43.5,1800,84.261360168457,17280,4378691,73.2353973388672,45300,256
"Georgia","S. Atl.","South",5463105,19.1000003814697,941,62.4018936157227,17414,2028350,37.9122543334961,36900,211
"Hawaii","Pacific","West",964691,25.2999992370605,1501,86.5139236450195,22750,334235,54.3539695739746,119400,311
"Idaho","Mountain","West",943935,32.4000015258789,115,53.9975738525391,17492,375127,53.3490295410156,45900,219
"Illinois","E.N.C.","N Cntrl",11426518,2.79999995231628,2053,83.2978057861328,22746,4319672,16.6706676483154,53900,246
"Indiana","E.N.C.","N Cntrl",5490224,5.69999980926514,1528,64.2104568481445,20535,2091795,20.8783493041992,37200,219
"Iowa","W.N.C.","N Cntrl",2913808,3.09999990463257,521,58.6254119873047,20052,1131299,17.3190097808838,40600,225
"Kansas","W.N.C.","N Cntrl",2363679,5.09999990463257,289,66.6714477539062,19707,954906,20.914737701416,37800,219
"Kentucky","E.S.C.","South",3660777,13.6999998092651,923,50.8685188293457,16444,1369125,28.5773448944092,34200,198
"Louisiana","W.S.C.","South",4205900,15.3999996185303,945,68.6490173339844,18088,1548419,34.533992767334,43000,214
"Maine","N. Eng.","NE",1124660,13.1999998092651,363,47.487419128418,16167,501093,26.1620616912842,37900,216
"Maryland","S. Atl.","South",4216975,7.5,4287,80.3076858520508,23112,1570907,25.6912631988525,59200,266
"Massachusetts","N. Eng.","NE",5737037,0.800000011920929,7332,83.8122329711914,21166,2208146,16.8084011077881,48500,255
"Michigan","E.N.C.","N Cntrl",9262078,4.30000019073486,1626,70.7352142333984,22107,3589912,21.3914165496826,39000,250
"Minnesota","W.N.C.","N Cntrl",4075970,7.09999990463257,512,66.8602066040039,21185,1612960,26.3528633117676,54300,236
"Mississippi","E.S.C.","South",2520638,13.6999998092651,534,47.3215522766113,14591,911627,30.3855381011963,31400,180
"Missouri","W.N.C.","N Cntrl",4916686,5.09999990463257,713,68.1269454956055,18784,1988915,18.8378257751465,36700,211
"Montana","Mountain","West",786690,13.3000001907349,54,52.9308891296387,18413,328465,33.1958656311035,46400,200
"N. Carolina","S. Atl.","South",5881766,15.6999998092651,1204,47.9932708740234,16792,2274737,38.5332641601562,36000,205
"N. Dakota","W.N.C.","N Cntrl",652717,5.69999980926514,94,48.7669219970703,18023,258772,26.7030620574951,43800,206
"Nebraska","W.N.C.","N Cntrl",1569825,5.69999980926514,205,62.9279708862305,19122,624829,21.2012882232666,38000,213
"Nevada","Mountain","West",800493,63.7999992370605,73,85.3157958984375,21311,339949,97.0056457519531,69200,310
"New Hampshire","N. Eng.","NE",920610,24.7999992370605,1024,52.1746444702148,19723,386381,37.5207328796387,48000,251
"New Jersey","Mid Atl","NE",7364823,2.70000004768372,9862,89.0364532470703,22906,2772149,16.0531578063965,61400,270
"New Mexico","Mountain","West",1302894,28.1000003814697,107,72.1442413330078,16928,507513,55.6272773742676,45400,216
"New York","Mid Atl","NE",17558072,-3.59999990463257,3706,84.6224365234375,20180,6867638,9.01559543609619,45900,249
"Ohio","E.N.C.","N Cntrl",10797630,1.29999995231628,2633,73.3333053588867,20909,4108105,18.5023002624512,45100,224
"Oklahoma","W.S.C.","South",3025290,18.2000007629395,441,67.2689895629883,17668,1237040,31.6610679626465,35600,214
"Oregon","Pacific","West",2633105,25.8999996185303,274,67.9180679321289,20027,1083285,45.4495544433594,59000,257
"Pennsylvania","Mid Atl","NE",11863895,0.5,2643,69.2930221557617,19995,4596431,17.0407409667969,39100,225
"Rhode Island","N. Eng.","NE",947154,-0.200000002980232,8980,86.9978942871094,19448,372672,17.3071784973145,47000,222
"S. Carolina","S. Atl.","South",3121820,20.5,1034,54.1111602783203,16978,1153709,41.5057373046875,35100,206
"S. Dakota","W.N.C.","N Cntrl",690768,3.70000004768372,91,46.4377326965332,15993,276997,22.8820362091064,36600,188
"Tennessee","E.S.C.","South",4591120,16.8999996185303,1116,60.4116859436035,16564,1747422,34.2631912231445,35600,203
"Texas","W.S.C.","South",14229191,27.1000003814697,543,79.6462478637695,19618,5549352,44.888256072998,39100,245
"Utah","Mountain","West",1461037,37.9000015258789,178,84.3962173461914,20024,490006,55.180591583252,60000,235
"Vermont","N. Eng.","NE",511456,15,552,33.7731895446777,17205,223199,35.0993576049805,42300,226
"Virginia","S. Atl.","South",5346818,14.8999996185303,1347,66.0097808837891,20018,2020941,35.2760047912598,48100,259
"W. Virginia","S. Atl.","South",1949644,11.8000001907349,808,36.1768112182617,17308,747810,25.2055206298828,38500,195
"Washington","Pacific","West",4132156,21.1000003814697,621,73.4970779418945,21696,1689450,38.260669708252,60700,254
"Wisconsin","E.N.C.","N Cntrl",4705767,6.5,865,64.1921310424805,20915,1863897,26.5957450866699,48600,234
"Wyoming","Mountain","West",469557,41.2999992370605,48,62.748291015625,22430,188217,61.8054885864258,60400,252
